3, 44, 21, 107, 64, 16, -1.3
5, 422, 364, 467, 554, 235, -18.4
6, 28, 50, 50, 41, 8, -4.9
8, 0, 1, 0, 0, 0, -0.1
14, 0, 1, 0, 0, 0, -0.1
23, 1, 5, 12, 3, 2, 0.0
24, 55, 3, 21, 3, 0, -11.0
25, 0, 0, 0, 1, 0, 0.1
29, 0, 0, 0, 0, 0, 0.0
30, 0, 0, 0, 0, 0, 0.0
33, 0, 0, 0, 0, 0, 0.0
34, 0, 0, 0, 0, 0, 0.0
36, 0, 0, 0, 0, 0, 0.0
37, 0, 0, 0, 0, 0, 0.0
40, 0, 0, 0, 0, 0, 0.0
41, 0, 0, 0, 0, 0, 0.0
43, 0, 0, 0, 0, 0, 0.0
44, 0, 0, 0, 0, 0, 0.0
45, 4, 3, 14, 7, 1, -0.2
46, 176, 143, 207, 212, 84, -11.5
47, 298, 475, 623, 579, 180, -13.2
48, 726, 461, 578, 379, 116, -130.2
49, 516, 390, 398, 335, 196, -69.5
50, 3867, 3311, 3493, 2753, 799, -669.4
51, 211, 185, 258, 160, 43, -36.1
52, 1093, 1107, 1277, 970, 390, -154.3
53, 27, 27, 31, 9, 7, -5.8
56, 159, 215, 139, 238, 142, -1.1
57, 0, 0, 0, 0, 0, 0.0
58, 11, 93, 183, 150, 35, 10.5
59, 8, 13, 35, 20, 10, 1.1
60, 249, 46, 40, 35, 13, -48.3
61, 1, 0, 1, 0, 0, -0.2
62, 128, 80, 125, 118, 22, -17.4
64, 0, 1, 1, 1, 0, 0.0
66, 1491, 1763, 1683, 1721, 538, -194.8
67, 649, 769, 919, 1463, 358, 11.2
68, 944, 744, 614, 1127, 595, -31.5
69, 235, 330, 267, 468, 256, 18.0
70, 102, 71, 31, 117, 49, -6.0
71, 3, 0, 51, 40, 2, 3.8
72, 1, 5, 5, 3, 7, 1.0
73, 3, 2, 1, 0, 0, -0.8
74, 2, 0, 0, 0, 0, -0.4
75, 21, 7, 8, 7, 7, -2.8
76, 2134, 2053, 2159, 935, 255, -487.6
77, 252, 151, 106, 164, 127, -23.7
78, 0, 0, 0, 0, 0, 0.0
79, 0, 12, 56, 47, 9, 5.3
80, 4, 1, 2, 3, 4, 0.2
81, 42, 37, 41, 10, 6, -9.9
82, 519, 404, 260, 166, 16, -124.4
83, 341, 496, 660, 483, 95, -50.5
84, 1115, 1130, 1097, 1091, 420, -142.9
85, 97, 98, 76, 79, 53, -10.7
86, 848, 767, 839, 843, 250, -112.0
87, 1013, 915, 808, 798, 278, -158.7
88, 617, 506, 1106, 1101, 386, 13.3
89, 17, 4, 8, 5, 0, -3.3
90, 891, 904, 1032, 1199, 353, -78.1
91, 7, 3, 9, 18, 3, 0.7
92, 197, 103, 78, 87, 21, -36.8
93, 62, 56, 33, 5, 3, -16.9
94, 73, 45, 63, 64, 26, -7.5
95, 63, 88, 40, 113, 83, 6.5
96, 68, 38, 13, 57, 17, -8.3
98, 2, 1, 5, 2, 0, -0.3
99, 158, 192, 171, 192, 24, -26.8
100, 159, 244, 132, 77, 30, -42.5
101, 0, 1, 0, 0, 0, -0.1
102, 0, 1, 0, 0, 0, -0.1
103, 0, 1, 0, 0, 0, -0.1
104, 0, 1, 0, 0, 0, -0.1
105, 0, 1, 0, 0, 0, -0.1
106, 0, 1, 0, 0, 0, -0.1
107, 0, 1, 0, 0, 0, -0.1
108, 17, 88, 77, 15, 19, -6.9
109, 0, 3, 2, 0, 1, -0.1
112, 31, 7, 0, 0, 0, -6.9
113, 4908, 4699, 5153, 4988, 1653, -622.1
115, 12, 17, 22, 20, 2, -1.7
116, 96, 91, 54, 51, 21, -19.0
117, 643, 450, 801, 571, 206, -75.3
118, 380, 248, 417, 334, 88, -49.8
119, 0, 0, 0, 0, 0, 0.0
120, 925, 741, 1114, 1208, 224, -93.5
121, 22, 27, 49, 34, 18, -0.1
122, 405, 367, 476, 348, 92, -64.5
123, 136, 116, 163, 177, 55, -10.1
124, 1, 0, 8, 9, 1, 0.9
125, 251, 276, 439, 616, 203, 24.4
126, 714, 655, 850, 673, 240, -93.0
128, 120, 70, 110, 140, 36, -9.8
129, 1, 0, 0, 2, 1, 0.2
131, 639, 630, 761, 537, 141, -108.9
132, 329, 292, 612, 700, 331, 41.2
133, 129, 69, 53, 12, 1, -31.3
134, 756, 432, 315, 388, 184, -118.8
135, 14, 14, 46, 166, 3, 13.0
136, 57, 55, 105, 101, 10, -4.8
137, 1022, 781, 741, 533, 188, -191.6
138, 445, 339, 263, 267, 118, -72.6
139, 625, 420, 325, 304, 145, -107.6
140, 738, 558, 814, 661, 288, -79.7
141, 574, 573, 632, 653, 255, -55.8
142, 6, 10, 8, 8, 8, 0.2
143, 33, 25, 37, 41, 10, -3.0
144, 15, 18, 7, 2, 4, -3.8
145, 124, 171, 222, 196, 83, -5.7
146, 246, 637, 1172, 1147, 514, 104.6
147, 542, 612, 757, 738, 388, -18.2
148, 734, 1418, 1397, 1199, 517, -65.3
149, 662, 412, 150, 216, 97, -132.6
150, 736, 743, 933, 966, 437, -37.5
151, 1613, 1370, 1819, 1716, 767, -134.6
152, 760, 703, 1027, 1011, 443, -32.6
153, 291, 233, 541, 182, 137, -35.9
154, 255, 226, 421, 490, 402, 55.8
155, 298, 385, 707, 506, 237, -0.1
156, 1334, 1497, 1624, 1237, 365, -219.8
157, 1600, 1870, 1996, 1603, 506, -245.5
158, 1602, 1811, 2059, 1627, 491, -240.6
159, 189, 235, 224, 214, 101, -19.7
160, 13, 11, 13, 12, 6, -1.3
161, 208, 183, 135, 86, 31, -45.1
162, 6, 2, 3, 12, 2, 0.2
163, 324, 368, 246, 113, 51, -80.1
164, 955, 893, 983, 780, 314, -139.5
165, 608, 438, 544, 487, 144, -87.9
166, 453, 424, 374, 414, 115, -68.6
167, 1095, 1110, 882, 915, 274, -183.7
168, 0, 0, 0, 0, 0, 0.0
169, 13, 5, 6, 7, 3, -1.8
171, 0, 0, 0, 0, 0, 0.0
173, 0, 0, 0, 0, 0, 0.0
174, 0, 0, 0, 0, 0, 0.0
175, 0, 0, 0, 0, 0, 0.0
176, 0, 0, 0, 0, 0, 0.0
177, 0, 0, 0, 0, 0, 0.0
178, 0, 0, 0, 0, 0, 0.0
179, 0, 0, 0, 0, 0, 0.0
180, 0, 0, 1, 1, 0, 0.1
