(5, 0, 1, 0, 0, 0, -0.10000000000000001)
(46, 1, 1, 0, 0, 0, -0.29999999999999999)
(49, 0, 1, 0, 0, 0, -0.10000000000000001)
(50, 1, 1, 0, 0, 0, -0.29999999999999999)
(51, 0, 0, 0, 0, 0, 0.0)
(52, 0, 11, 39, 31, 10, 4.0)
(53, 0, 0, 1, 0, 0, 0.0)
(60, 1, 0, 0, 0, 0, -0.20000000000000001)
(66, 1, 0, 2, 3, 0, 0.10000000000000001)
(67, 0, 0, 0, 0, 1, 0.20000000000000001)
(69, 0, 0, 0, 1, 0, 0.10000000000000001)
(73, 0, 1, 2, 0, 0, -0.10000000000000001)
(76, 0, 1, 2, 0, 0, -0.10000000000000001)
(82, 1, 0, 0, 4, 2, 0.59999999999999998)
(83, 0, 1, 1, 0, 0, -0.10000000000000001)
(84, 0, 0, 1, 0, 0, 0.0)
(87, 0, 2, 0, 0, 0, -0.20000000000000001)
(88, 0, 0, 1, 0, 1, 0.20000000000000001)
(92, 0, 0, 0, 4, 2, 0.80000000000000004)
(94, 1, 0, 0, 0, 0, -0.20000000000000001)
(100, 0, 1, 0, 0, 0, -0.10000000000000001)
(109, 0, 0, 1, 0, 0, 0.0)
(113, 1, 3, 2, 4, 3, 0.5)
(116, 18, 26, 7, 36, 11, -0.40000000000000002)
(117, 1, 1, 0, 0, 0, -0.29999999999999999)
(120, 0, 0, 0, 2, 0, 0.20000000000000001)
(122, 0, 0, 1, 0, 0, 0.0)
(126, 13, 21, 3, 21, 9, -0.80000000000000004)
(137, 5, 2, 2, 0, 0, -1.2)
(139, 2, 0, 0, 0, 0, -0.40000000000000002)
(140, 0, 1, 0, 0, 1, 0.10000000000000001)
(143, 3, 0, 0, 0, 0, -0.59999999999999998)
(152, 1, 0, 0, 0, 0, -0.20000000000000001)
(158, 2, 0, 0, 0, 0, -0.40000000000000002)
(160, 0, 3, 0, 0, 0, -0.29999999999999999)
(161, 1, 3, 1, 0, 0, -0.5)
(164, 0, 0, 1, 0, 0, 0.0)
(165, 2, 0, 0, 0, 0, -0.40000000000000002)
(169, 1, 3, 2, 2, 0, -0.29999999999999999)
(223, 1, 0, 0, 0, 0, -0.20000000000000001)
(224, 0, 0, 1, 0, 0, 0.0)
(244, 0, 0, 0, 0, 0, 0.0)
(251, 0, 0, 2, 0, 0, 0.0)
(288, 0, 2, 0, 0, 0, -0.20000000000000001)
(425, 0, 0, 1, 0, 0, 0.0)
(432, 0, 0, 0, 0, 0, 0.0)
(443, 0, 0, 0, 0, 1, 0.20000000000000001)
(461, 0, 0, 0, 0, 1, 0.20000000000000001)
(475, 0, 0, 1, 0, 0, 0.0)
(491, 7, 1, 10, 6, 13, 1.7)
