3, 824, 590, 752, 839, 345, -70.9
5, 1364, 1402, 1808, 2174, 928, -10.0
6, 2034, 1581, 1625, 1776, 672, -252.9
8, 0, 4, 0, 0, 0, -0.4
14, 0, 4, 0, 0, 0, -0.4
23, 9, 5, 163, 83, 314, 68.8
24, 256, 748, 1812, 3028, 808, 338.4
25, 2, 0, 0, 1, 0, -0.3
29, 0, 0, 0, 0, 0, 0.0
30, 0, 0, 0, 0, 0, 0.0
33, 0, 0, 0, 0, 0, 0.0
34, 0, 0, 0, 0, 0, 0.0
36, 0, 0, 0, 0, 0, 0.0
37, 0, 0, 0, 0, 0, 0.0
40, 0, 0, 0, 0, 0, 0.0
41, 0, 0, 0, 0, 0, 0.0
43, 0, 0, 0, 0, 0, 0.0
44, 0, 0, 0, 0, 0, 0.0
45, 12, 9, 42, 21, 3, -0.6
46, 524, 427, 619, 636, 252, -33.5
47, 894, 1425, 1867, 1737, 540, -39.6
48, 2178, 1381, 1730, 1135, 342, -391.8
49, 1536, 1154, 1186, 1003, 588, -204.7
50, 11537, 9851, 10399, 8243, 2397, -1988.8
51, 633, 553, 770, 480, 127, -108.5
52, 3215, 3285, 3753, 2910, 1170, -446.5
53, 81, 79, 93, 27, 21, -17.2
56, 979, 1019, 782, 1266, 690, -33.1
57, 0, 0, 0, 0, 0, 0.0
58, 3, 10, 9, 78, 60, 18.2
59, 17, 129, 202, 66, 30, -3.7
60, 747, 138, 118, 100, 37, -145.8
61, 3, 0, 3, 0, 0, -0.6
62, 384, 240, 373, 354, 66, -52.2
64, 0, 3, 3, 3, 0, 0.0
66, 3439, 3535, 3641, 1126, 130, -902.7
67, 247, 175, 160, 121, 33, -48.2
68, 1419, 1075, 423, 282, 107, -341.7
69, 150, 337, 157, 121, 24, -46.8
70, 0, 21, 24, 15, 27, 4.8
71, 9, 0, 156, 109, 6, 10.3
72, 0, 12, 12, 6, 21, 3.6
73, 9, 16, 16, 14, 4, -1.2
74, 1571, 1008, 1323, 1318, 493, -184.6
75, 70, 28, 38, 47, 40, -4.1
76, 8368, 8023, 8436, 3674, 997, -1909.1
77, 973, 615, 468, 635, 520, -88.6
78, 0, 0, 0, 1, 4, 0.9
79, 4, 48, 217, 222, 56, 27.8
80, 20, 4, 6, 12, 16, 0.0
81, 126, 111, 123, 30, 18, -29.7
82, 1551, 1210, 770, 498, 48, -371.8
83, 1023, 1488, 1976, 1449, 285, -151.5
84, 3345, 3384, 3289, 3273, 1260, -428.1
85, 291, 294, 228, 237, 159, -32.1
86, 2536, 2301, 2507, 2529, 750, -334.4
87, 3039, 2745, 2418, 2394, 834, -476.1
88, 1851, 1516, 3314, 3303, 1156, 39.7
89, 51, 12, 24, 15, 0, -9.9
90, 2673, 2710, 3096, 3597, 1059, -234.1
91, 21, 9, 27, 52, 9, 1.9
92, 589, 307, 232, 261, 63, -109.8
93, 186, 164, 99, 15, 9, -50.3
94, 219, 135, 189, 192, 78, -22.5
95, 189, 264, 118, 339, 249, 19.5
96, 204, 114, 37, 171, 51, -24.9
98, 6, 3, 15, 6, 0, -0.9
99, 474, 574, 501, 576, 72, -80.2
100, 477, 688, 378, 231, 90, -123.1
101, 0, 3, 0, 0, 0, -0.3
102, 0, 3, 0, 0, 0, -0.3
103, 0, 3, 0, 0, 0, -0.3
104, 0, 3, 0, 0, 0, -0.3
105, 0, 3, 0, 0, 0, -0.3
106, 0, 3, 0, 0, 0, -0.3
107, 0, 3, 0, 0, 0, -0.3
108, 49, 246, 211, 35, 57, -19.5
109, 0, 9, 2, 0, 3, -0.3
112, 91, 21, 0, 0, 0, -20.3
113, 14718, 14027, 15399, 14954, 4957, -1859.5
115, 102, 83, 379, 1078, 90, 97.1
116, 514, 569, 554, 404, 139, -91.5
117, 1892, 1324, 2359, 1679, 603, -222.3
118, 1296, 945, 1499, 1200, 303, -173.1
119, 0, 0, 0, 0, 0, 0.0
120, 2195, 1746, 2806, 2926, 579, -205.2
121, 521, 445, 584, 692, 137, -52.1
122, 1728, 1666, 2172, 1045, 274, -352.9
123, 420, 351, 495, 624, 200, -16.7
124, 137, 74, 129, 217, 39, -5.3
125, 2071, 1537, 2285, 3894, 966, 14.7
126, 2158, 1971, 2545, 2014, 719, -283.5
128, 360, 210, 328, 420, 108, -29.4
129, 3, 0, 0, 6, 3, 0.6
131, 1905, 1870, 2259, 1605, 423, -322.9
132, 979, 866, 1798, 2082, 991, 124.0
133, 381, 201, 155, 36, 3, -92.1
134, 2268, 1296, 945, 1164, 552, -356.4
135, 42, 40, 138, 498, 9, 39.2
136, 171, 165, 315, 303, 30, -14.4
137, 3062, 2339, 2219, 1594, 562, -574.5
138, 1335, 1017, 787, 795, 354, -218.4
139, 1875, 1250, 971, 910, 429, -323.2
140, 2212, 1672, 2438, 1983, 864, -238.5
141, 1718, 1719, 1896, 1956, 765, -166.9
142, 18, 36, 51, 42, 27, 2.4
143, 93, 76, 120, 141, 30, -6.1
144, 39, 46, 30, 9, 13, -8.9
